Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21,SE-Gf,SE-Gwm ,SE-Glr,SE-Gv,SE-Gc,SE-Ga,SE-Gs,SR-Gf,SR-Gwm,SR-Glr,SR-Gv,SR-Gc,SR-Ga,SR-Gs
Female,18,Jawa,IPA,3.9,4,4,3,3,4,2,4,4,5,4,2,2,4,3,3,3,4,1,4,4,4,125,91,122,117,123,94,120,11,9,13,8,10,8,12
Female,20,Luar Jawa,IPS,3.75,4,5,4,4,4,4,4,4,4,5,4,2,5,5,2,2,4,2,2,2,3,126,121,125,129,125,89,78,13,12,12,11,12,8,7
Female,19,Luar Jawa,IPA,3.66,3,4,5,5,4,4,4,5,5,5,4,5,5,4,4,4,3,4,4,5,4,91,130,120,128,121,129,117,12,13,14,14,13,11,13
Male,22,Jawa,IPS,3.5,3,3,3,3,4,3,3,4,3,3,2,3,3,4,4,3,2,3,3,3,2,95,88,98,95,97,93,98,9,10,10,8,11,8,8
Female,20,Luar Jawa,IPA,3.57,5,4,5,4,4,4,4,3,3,3,4,5,4,5,4,4,4,4,5,3,3,129,116,121,94,124,118,90,14,12,10,12,13,12,11
Male,19,Jawa,IPS,3.34,3,4,3,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,3,4,3,91,120,89,90,125,118,130,10,12,10,11,12,11,10
Female,19,Jawa,Others,3.49,3,3,4,2,3,3,4,5,5,3,3,5,3,3,3,3,2,3,2,4,3,91,86,122,93,90,85,119,10,8,14,11,9,8,9
Male,19,Luar Jawa,IPS,3.79,4,4,3,4,4,4,3,3,4,5,3,4,4,4,5,2,4,3,3,3,4,122,129,94,120,123,86,91,11,12,10,12,13,9,10
Female,19,Jawa,IPA,3.75,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,123,123,128,124,127,125,119,11,12,11,12,12,12,12
Male,29,Jawa,Others,3.5,3,4,3,3,4,4,3,4,5,5,4,5,4,2,3,2,4,2,4,3,4,97,92,92,125,122,87,95,10,11,12,14,9,8,11
Female,20,Jawa,Others,3.67,4,4,4,3,3,3,5,4,2,3,3,2,4,4,4,4,4,4,4,3,3,125,89,130,92,125,125,89,12,9,11,8,12,12,10
Female,19,Luar Jawa,Others,3.08,4,4,3,4,4,3,4,4,5,4,3,3,3,3,3,3,4,3,3,3,3,122,121,126,124,86,85,92,11,11,13,10,9,10,9
Male,19,Luar Jawa,IPA,2,2,3,2,3,5,4,5,5,2,4,4,4,3,3,3,4,3,2,3,4,4,81,93,125,124,93,122,128,7,12,12,12,9,9,11
Female,19,Luar Jawa,IPA,3.4,2,2,3,1,1,1,1,2,1,5,5,5,5,3,3,4,5,4,3,3,2,83,81,72,121,125,76,99,7,3,4,15,11,13,8
Male,19,Jawa,IPS,3.43,4,4,3,3,3,3,4,5,5,4,4,4,4,4,3,3,4,5,5,5,4,122,90,118,120,126,89,131,11,9,14,12,11,12,14
Female,19,Jawa,IPA,3.95,3,4,4,5,4,3,4,5,5,5,4,4,3,4,4,4,5,5,3,3,4,96,119,121,124,93,126,88,11,12,14,13,11,14,10
