Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21
Male,19,Jawa,IPS,2.9,4,4,4,2,3,2,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4
Male,23,Jawa,Others,3.76,5,4,4,4,4,3,4,5,4,3,3,4,5,4,4,5,4,2,3,5,2
Female,18,Jawa,IPA,3.5,4,3,3,4,4,3,3,4,5,3,3,5,4,3,3,3,3,3,3,3,3
Female,20,Luar Jawa,IPA,3.8,4,3,3,4,3,3,3,2,2,3,3,4,3,3,4,3,4,3,4,3,5
Male,19,Jawa,IPS,3.43,4,3,3,4,5,4,5,5,5,3,2,4,2,3,4,3,4,4,3,3,2
Male,20,Jawa,IPA,3.6,3,3,3,2,2,3,2,4,4,3,2,5,4,3,4,2,4,4,4,3,4
Male,20,Jawa,IPA,3.74,4,3,3,4,3,4,3,4,5,5,4,4,3,3,4,3,5,5,5,4,2
Male,19,Luar Jawa,IPS,3.2,3,4,3,4,4,3,3,5,4,3,3,4,3,3,3,3,4,2,3,2,3
Male,19,Luar Jawa,IPS,3.5,4,4,3,3,3,3,3,4,3,5,5,4,2,3,3,3,4,2,3,3,1
Male,21,Jawa,IPA,3.25,2,1,3,4,5,4,4,3,5,5,5,5,5,5,5,4,5,5,2,3,1
Male,20,Jawa,IPS,3.35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2
Male,20,Luar Jawa,Others,3.58,3,3,5,4,5,4,5,5,5,5,4,5,4,3,3,3,4,4,4,2,2
Female,18,Luar Jawa,IPA,3.8,3,4,3,2,4,3,3,5,5,4,4,4,3,3,4,2,4,4,4,4,4
Female,20,Jawa,IPA,3.35,4,4,4,4,5,5,5,5,3,5,5,5,4,5,5,4,5,3,5,5,5
Male,19,Luar Jawa,IPA,3.07,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,2,3,3,4
